Time,Price
2015-06-06,6.22
2015-06-10,6.48
2015-08-29,6.25
2015-09-13,6.72
2015-09-28,6.72
2015-10-02,6.72
2015-10-05,6.72
2015-11-03,6.72
2015-11-10,6.32
2015-11-14,6.72
2015-11-21,6.99
2015-11-24,6.47
2015-12-01,6.98
2015-12-13,8.16
2015-12-17,8.34
2015-12-21,8.11
2016-01-01,8.11
2016-01-07,8.35
2016-01-14,8.33
2016-01-30,8.26
2016-02-05,8.12
2016-02-11,7.9
2016-02-14,8.29
2016-02-22,8.33
2016-02-26,8.29
2016-02-29,8.29
2016-03-30,9.85
2016-04-08,9.85
2016-04-12,8.68
2016-04-15,9.93
2016-04-26,8.29
2016-05-10,7.74
2016-05-13,7.7
2016-05-17,7.66
2016-05-24,7.56
2016-05-27,7.54
2016-05-30,7.52
2016-06-03,7.95
